"","year","state","state_abb","gender","race","RACE","death","population","crude_rate","crude_rate_se","percentage_total_death_num"
"5",1999,"Alabama","AL","Female","White","EA",87,1640665,312,0.6,0
"6",2000,"Alabama","AL","Female","White","EA",106,1643179,330,0.6,0
"7",2001,"Alabama","AL","Female","White","EA",89,1645541,313,0.6,0
"8",2002,"Alabama","AL","Female","White","EA",95,1646445,317,0.6,0
"9",2003,"Alabama","AL","Female","White","EA",86,1650890,311,0.6,0
"10",2004,"Alabama","AL","Female","White","EA",86,1657539,311,0.6,0
"11",2005,"Alabama","AL","Female","White","EA",92,1668327,314,0.6,0
"12",2006,"Alabama","AL","Female","White","EA",89,1685050,312,0.6,0
"13",2007,"Alabama","AL","Female","White","EA",111,1697518,330,0.6,0
"14",2008,"Alabama","AL","Female","White","EA",110,1710122,329,0.6,0
"15",2009,"Alabama","AL","Female","White","EA",119,1720115,334,0.6,0
"16",2010,"Alabama","AL","Female","White","EA",134,1725848,353,0.7,0
"17",2011,"Alabama","AL","Female","White","EA",112,1730480,330,0.6,0
"18",2012,"Alabama","AL","Female","White","EA",128,1734362,349,0.7,0
"19",2013,"Alabama","AL","Female","White","EA",140,1735584,361,0.7,0
"20",2014,"Alabama","AL","Female","White","EA",134,1738779,352,0.7,0
"21",2015,"Alabama","AL","Female","White","EA",152,1738989,367,0.7,0
"22",2016,"Alabama","AL","Female","White","EA",158,1738363,372,0.7,0
"23",1999,"Alabama","AL","Male","Black or African American","AA",52,539198,377,1.3,0
"24",2000,"Alabama","AL","Male","Black or African American","AA",62,541643,24,1.5,0
"25",2001,"Alabama","AL","Male","Black or African American","AA",49,546578,371,1.3,0
"26",2002,"Alabama","AL","Male","Black or African American","AA",59,549217,17,1.4,0
"27",2003,"Alabama","AL","Male","Black or African American","AA",41,553307,349,1.2,0
"28",2004,"Alabama","AL","Male","Black or African American","AA",65,557319,27,1.4,0
"29",2005,"Alabama","AL","Male","Black or African American","AA",62,563308,20,1.4,0
"30",2006,"Alabama","AL","Male","Black or African American","AA",55,572880,377,1.3,0
"31",2007,"Alabama","AL","Male","Black or African American","AA",42,579036,348,1.1,0
"32",2008,"Alabama","AL","Male","Black or African American","AA",58,586075,380,1.3,0
"33",2009,"Alabama","AL","Male","Black or African American","AA",51,592661,366,1.2,0
"34",2010,"Alabama","AL","Male","Black or African American","AA",50,596519,364,1.2,0
"35",2011,"Alabama","AL","Male","Black or African American","AA",59,602921,379,1.3,0
"36",2012,"Alabama","AL","Male","Black or African American","AA",70,607513,25,1.4,0
"37",2013,"Alabama","AL","Male","Black or African American","AA",48,610554,354,1.1,0
"38",2014,"Alabama","AL","Male","Black or African American","AA",58,614609,375,1.2,0
"39",2015,"Alabama","AL","Male","Black or African American","AA",62,618441,10,1.3,0
"40",2016,"Alabama","AL","Male","Black or African American","AA",65,620706,15,1.3,0
"41",1999,"Alabama","AL","Male","White","EA",405,1570643,175,1.3,0.1
"42",2000,"Alabama","AL","Male","White","EA",407,1575039,175,1.3,0.1
"43",2001,"Alabama","AL","Male","White","EA",364,1580087,147,1.2,0.1
"44",2002,"Alabama","AL","Male","White","EA",352,1583267,139,1.2,0.1
"45",2003,"Alabama","AL","Male","White","EA",382,1590946,157,1.2,0.1
"46",2004,"Alabama","AL","Male","White","EA",372,1598272,150,1.2,0.1
"47",2005,"Alabama","AL","Male","White","EA",375,1610721,150,1.2,0.1
"48",2006,"Alabama","AL","Male","White","EA",423,1629110,177,1.3,0.1
"49",2007,"Alabama","AL","Male","White","EA",425,1643115,176,1.3,0.1
"50",2008,"Alabama","AL","Male","White","EA",421,1656414,171,1.2,0.1
"51",2009,"Alabama","AL","Male","White","EA",491,1669087,210,1.3,0.1
"52",2010,"Alabama","AL","Male","White","EA",485,1674127,207,1.3,0.1
"53",2011,"Alabama","AL","Male","White","EA",468,1675994,196,1.3,0.1
"54",2012,"Alabama","AL","Male","White","EA",508,1679209,229,1.3,0.1
"55",2013,"Alabama","AL","Male","White","EA",514,1681773,232,1.3,0.1
"56",2014,"Alabama","AL","Male","White","EA",510,1681161,229,1.3,0.1
"57",2015,"Alabama","AL","Male","White","EA",525,1679105,239,1.4,0.1
"58",2016,"Alabama","AL","Male","White","EA",556,1678546,256,1.4,0.1
"61",2004,"Alaska","AK","Female","American Indian or Alaska Native","AI",20,55929,275,8,0
"72",2002,"Alaska","AK","Female","White","EA",27,222980,31,2.3,0
"76",2006,"Alaska","AK","Female","White","EA",20,231903,366,1.9,0
"79",2009,"Alaska","AK","Female","White","EA",20,237925,364,1.9,0
"80",2010,"Alaska","AK","Female","White","EA",23,240153,377,2,0
"83",2013,"Alaska","AK","Female","White","EA",21,243625,366,1.9,0
"84",2014,"Alaska","AK","Female","White","EA",20,242191,363,1.8,0
"85",2015,"Alaska","AK","Female","White","EA",28,241038,26,2.2,0
"86",2016,"Alaska","AK","Female","White","EA",27,242824,21,2.1,0
"87",1999,"Alaska","AK","Male","American Indian or Alaska Native","AI",27,53119,319,9.8,0
"88",2000,"Alaska","AK","Male","American Indian or Alaska Native","AI",44,54115,370,12.3,0
"89",2001,"Alaska","AK","Male","American Indian or Alaska Native","AI",23,54650,303,8.8,0
"90",2002,"Alaska","AK","Male","American Indian or Alaska Native","AI",34,55213,338,10.6,0
"91",2003,"Alaska","AK","Male","American Indian or Alaska Native","AI",31,55853,323,10,0
"92",2004,"Alaska","AK","Male","American Indian or Alaska Native","AI",39,56792,341,11,0
"93",2005,"Alaska","AK","Male","American Indian or Alaska Native","AI",42,57713,357,11.2,0
"94",2006,"Alaska","AK","Male","American Indian or Alaska Native","AI",39,58361,340,10.7,0
"95",2007,"Alaska","AK","Male","American Indian or Alaska Native","AI",36,58689,337,10.2,0
"96",2008,"Alaska","AK","Male","American Indian or Alaska Native","AI",39,59398,339,10.5,0
"97",2009,"Alaska","AK","Male","American Indian or Alaska Native","AI",33,60293,322,9.5,0
"98",2010,"Alaska","AK","Male","American Indian or Alaska Native","AI",43,60905,355,10.8,0
"99",2011,"Alaska","AK","Male","American Indian or Alaska Native","AI",37,61574,335,9.9,0
"100",2012,"Alaska","AK","Male","American Indian or Alaska Native","AI",45,62001,356,10.8,0
"101",2013,"Alaska","AK","Male","American Indian or Alaska Native","AI",45,61950,356,10.8,0
"102",2014,"Alaska","AK","Male","American Indian or Alaska Native","AI",32,62550,320,9,0
"103",2015,"Alaska","AK","Male","American Indian or Alaska Native","AI",49,63015,358,11.1,0
"104",2016,"Alaska","AK","Male","American Indian or Alaska Native","AI",45,64458,344,10.4,0
"106",1999,"Alaska","AK","Male","White","EA",46,242016,98,2.8,0
"107",2000,"Alaska","AK","Male","White","EA",66,240925,191,3.4,0
"108",2001,"Alaska","AK","Male","White","EA",58,243010,156,3.1,0
"109",2002,"Alaska","AK","Male","White","EA",63,245728,173,3.2,0
"110",2003,"Alaska","AK","Male","White","EA",64,246827,176,3.2,0
"111",2004,"Alaska","AK","Male","White","EA",74,250719,211,3.4,0
"112",2005,"Alaska","AK","Male","White","EA",60,253360,154,3.1,0
"113",2006,"Alaska","AK","Male","White","EA",63,256051,163,3.1,0
"114",2007,"Alaska","AK","Male","White","EA",80,257707,236,3.5,0
"115",2008,"Alaska","AK","Male","White","EA",93,260411,274,3.7,0
"116",2009,"Alaska","AK","Male","White","EA",72,261942,192,3.2,0
"117",2010,"Alaska","AK","Male","White","EA",79,267278,212,3.3,0
"118",2011,"Alaska","AK","Male","White","EA",69,270409,172,3.1,0
"119",2012,"Alaska","AK","Male","White","EA",84,273264,233,3.4,0
"120",2013,"Alaska","AK","Male","White","EA",85,275920,234,3.3,0
"121",2014,"Alaska","AK","Male","White","EA",97,275313,270,3.6,0
"122",2015,"Alaska","AK","Male","White","EA",97,275456,270,3.6,0
"123",2016,"Alaska","AK","Male","White","EA",88,273423,248,3.4,0
"135",2016,"Arizona","AZ","Female","American Indian or Alaska Native","AI",21,201796,14,2.3,0
"136",1999,"Arizona","AZ","Female","White","EA",153,2235195,333,0.6,0
"137",2000,"Arizona","AZ","Female","White","EA",150,2279908,331,0.5,0
"138",2001,"Arizona","AZ","Female","White","EA",132,2338263,315,0.5,0
"139",2002,"Arizona","AZ","Female","White","EA",163,2387929,333,0.5,0
"140",2003,"Arizona","AZ","Female","White","EA",157,2434530,329,0.5,0
"141",2004,"Arizona","AZ","Female","White","EA",170,2490861,333,0.5,0
"142",2005,"Arizona","AZ","Female","White","EA",180,2565676,345,0.5,0
"143",2006,"Arizona","AZ","Female","White","EA",195,2637738,349,0.5,0
"144",2007,"Arizona","AZ","Female","White","EA",206,2688894,352,0.5,0
"145",2008,"Arizona","AZ","Female","White","EA",209,2728728,352,0.5,0
"146",2009,"Arizona","AZ","Female","White","EA",235,2748928,365,0.6,0
"147",2010,"Arizona","AZ","Female","White","EA",205,2765575,349,0.5,0
"148",2011,"Arizona","AZ","Female","White","EA",242,2795837,367,0.6,0
"149",2012,"Arizona","AZ","Female","White","EA",241,2818449,366,0.6,0
"150",2013,"Arizona","AZ","Female","White","EA",243,2841855,366,0.5,0
"151",2014,"Arizona","AZ","Female","White","EA",273,2882772,376,0.6,0
"152",2015,"Arizona","AZ","Female","White","EA",277,2915754,376,0.6,0
"153",2016,"Arizona","AZ","Female","White","EA",248,2954067,364,0.5,0
"154",1999,"Arizona","AZ","Male","American Indian or Alaska Native","AI",35,134914,176,4.4,0
"155",2000,"Arizona","AZ","Male","American Indian or Alaska Native","AI",35,136282,174,4.3,0
"156",2001,"Arizona","AZ","Male","American Indian or Alaska Native","AI",52,139677,282,5.2,0
"157",2002,"Arizona","AZ","Male","American Indian or Alaska Native","AI",44,143131,233,4.6,0
"158",2003,"Arizona","AZ","Male","American Indian or Alaska Native","AI",45,146718,233,4.6,0
"159",2004,"Arizona","AZ","Male","American Indian or Alaska Native","AI",42,150710,196,4.3,0
"160",2005,"Arizona","AZ","Male","American Indian or Alaska Native","AI",46,155682,211,4.4,0
"161",2006,"Arizona","AZ","Male","American Indian or Alaska Native","AI",45,161130,196,4.2,0
"162",2007,"Arizona","AZ","Male","American Indian or Alaska Native","AI",29,166179,83,3.2,0
"163",2008,"Arizona","AZ","Male","American Indian or Alaska Native","AI",41,171027,157,3.7,0
"164",2009,"Arizona","AZ","Male","American Indian or Alaska Native","AI",40,174395,146,3.6,0
"165",2010,"Arizona","AZ","Male","American Indian or Alaska Native","AI",52,177223,209,4.1,0
"166",2011,"Arizona","AZ","Male","American Indian or Alaska Native","AI",54,179923,226,4.1,0
"167",2012,"Arizona","AZ","Male","American Indian or Alaska Native","AI",57,182988,237,4.1,0
"168",2013,"Arizona","AZ","Male","American Indian or Alaska Native","AI",61,185839,254,4.2,0
"169",2014,"Arizona","AZ","Male","American Indian or Alaska Native","AI",56,189222,212,4,0
"170",2015,"Arizona","AZ","Male","American Indian or Alaska Native","AI",47,191838,162,3.6,0
"171",2016,"Arizona","AZ","Male","American Indian or Alaska Native","AI",61,196044,237,4,0
"180",2016,"Arizona","AZ","Male","Asian or Pacific Islander","AP",21,134059,65,3.4,0
"185",2003,"Arizona","AZ","Male","Black or African American","AA",20,111521,87,4,0
"192",2011,"Arizona","AZ","Male","Black or African American","AA",22,169910,39,2.8,0
"193",2012,"Arizona","AZ","Male","Black or African American","AA",27,174895,62,3,0
"194",2013,"Arizona","AZ","Male","Black or African American","AA",21,180469,26,2.5,0
"195",2014,"Arizona","AZ","Male","Black or African American","AA",31,187382,73,3,0
"196",2015,"Arizona","AZ","Male","Black or African American","AA",22,194194,23,2.4,0
"197",2016,"Arizona","AZ","Male","Black or African American","AA",25,199163,36,2.5,0
"198",1999,"Arizona","AZ","Male","White","EA",545,2225387,162,1,0.1
"199",2000,"Arizona","AZ","Male","White","EA",576,2274325,170,1.1,0.1
"200",2001,"Arizona","AZ","Male","White","EA",545,2331036,151,1,0.1
"201",2002,"Arizona","AZ","Male","White","EA",652,2378350,191,1.1,0.1
"202",2003,"Arizona","AZ","Male","White","EA",601,2419988,165,1,0.1
"203",2004,"Arizona","AZ","Male","White","EA",631,2474943,172,1,0.1
"204",2005,"Arizona","AZ","Male","White","EA",687,2546316,187,1,0.1
"205",2006,"Arizona","AZ","Male","White","EA",691,2617740,181,1,0.1
"206",2007,"Arizona","AZ","Male","White","EA",743,2665511,196,1,0.1
"207",2008,"Arizona","AZ","Male","White","EA",676,2701226,167,1,0.1
"208",2009,"Arizona","AZ","Male","White","EA",721,2715119,183,1,0.1
"209",2010,"Arizona","AZ","Male","White","EA",789,2728015,206,1,0.1
"210",2011,"Arizona","AZ","Male","White","EA",810,2763920,209,1,0.1
"211",2012,"Arizona","AZ","Male","White","EA",791,2785136,201,1,0.1
"212",2013,"Arizona","AZ","Male","White","EA",797,2808748,201,1,0.1
"213",2014,"Arizona","AZ","Male","White","EA",840,2842559,212,1,0.1
