"","year","state_abb","deaths","populations","rate_pmil","articles"
"1","2011","AL",650,4699511,138.312262701375,NA
"2","2011","AK",134,636527,210.517385751115,NA
"3","2011","AZ",1141,6093150,187.259463495893,NA
"4","2011","AR",456,2611149,174.635763795938,NA
"5","2011","CA",3981,37318314,106.67684504718,61
"6","2011","CO",891,4804876,185.436627292775,5
"7","2011","CT",357,3185217,112.080275849338,1
"8","2011","DE",95,660104,143.916716153818,1
"9","2011","DC",13,146005,89.0380466422383,14
"10","2011","FL",2861,18652690,153.38270244131,26
"11","2011","GA",1151,9571742,120.249793611236,10
"12","2011","HI",176,1329198,132.410671698272,NA
"13","2011","ID",274,1510289,181.42223110941,NA
"14","2011","IL",1211,12442011,97.3315326597927,17
"15","2011","IN",871,6364543,136.851931081305,NA
"16","2011","IA",407,2873019,141.662829239904,6
"17","2011","KS",380,2549248,149.063566981322,1
"18","2011","KY",664,4108407,161.619820042172,2
"19","2011","LA",564,4455469,126.586000261701,4
"20","2011","ME",230,1281361,179.496644583377,NA
"21","2011","MD",549,5600002,98.0356792729717,3
"22","2011","MA",564,5873652,96.0220319487774,13
"23","2011","MI",1205,9557468,126.079417686776,2
"24","2011","MN",661,4986155,132.567078239646,10
"25","2011","MS",380,2333897,162.817810726009,NA
"26","2011","MO",924,5850561,157.933572524071,22
"27","2011","MT",227,945776,240.014548899528,NA
"28","2011","NE",185,1678482,110.218638031269,NA
"29","2011","NV",498,2408978,206.726669982042,2
"30","2011","NH",195,1260043,154.756623385075,NA
"31","2011","NJ",680,8351947,81.4181411831277,3
"32","2011","NM",409,1981144,206.446376437048,1
"33","2011","NY",1647,19248426,85.565437922041,30
"34","2011","NC",1196,9366905,127.68358385187,5
"35","2011","ND",90,624328,144.154995451109,NA
"36","2011","OH",1458,11388779,128.020747439212,10
"37","2011","OK",667,3347442,199.256626403086,4
"38","2011","OR",628,3505165,179.164176294126,6
"39","2011","PA",1738,12491443,139.135246424292,13
"40","2011","RI",94,919534,102.225692579067,NA
"41","2011","SC",645,3866430,166.820555396063,2
"42","2011","SD",118,760392,155.183116076971,NA
"43","2011","TN",942,5675238,165.984228326636,NA
"44","2011","TX",2881,25385367,113.490579041067,14
"45","2011","UT",479,2625630,182.432406698583,6
"46","2011","VT",119,605260,196.609721442025,NA
"47","2011","VA",1047,7781396,134.551692267043,NA
"48","2011","WA",1012,6755273,149.808897434641,18
"49","2011","WV",302,1762304,171.366574665892,NA
"50","2011","WI",723,5293310,136.587503849198,8
"51","2011","WY",129,537851,239.843376697264,NA
"52","2012","AL",716,4715781,151.83062996352,NA
"53","2012","AK",147,580097,253.405895910512,NA
"54","2012","AZ",1142,6263900,182.314532479765,NA
"55","2012","AR",470,2618540,179.489333750869,1
"56","2012","CA",3880,37665779,103.011277159567,116
"57","2012","CO",1035,4918005,210.451189049218,10
"58","2012","CT",345,2980691,115.744973229362,3
"59","2012","DE",117,764000,153.141361256545,3
"60","2012","DC",29,285207,101.68053378774,12
"61","2012","FL",2993,19211582,155.79143872691,33
"62","2012","GA",1155,9666444,119.485510907631,23
"63","2012","HI",185,1344357,137.612256268238,NA
"64","2012","ID",291,1519716,191.483145535087,NA
"65","2012","IL",1282,12436794,103.08122816861,25
"66","2012","IN",932,6098478,152.825016340143,NA
"67","2012","IA",369,2877696,128.227582065653,9
"68","2012","KS",491,2661355,184.492485970492,1
"69","2012","KY",714,4114073,173.55063947577,2
"70","2012","LA",562,4478887,125.477601913154,10
"71","2012","ME",204,1280768,159.279432340596,NA
"72","2012","MD",572,5647118,101.290605225533,19
"73","2012","MA",576,5906512,97.519483580157,17
"74","2012","MI",1233,9511951,129.626403668396,1
"75","2012","MN",639,5008091,127.593528152743,37
"76","2012","MS",409,2934416,139.380374152813,NA
"77","2012","MO",894,5467076,163.524340982273,30
"78","2012","MT",222,951174,233.395782475131,NA
"79","2012","NE",222,1687030,131.592206421937,NA
"80","2012","NV",500,2432449,205.554155503363,5
"81","2012","NH",198,1260026,157.139614579382,NA
"82","2012","NJ",677,8803539,76.9008917890862,4
"83","2012","NM",431,1983664,217.274699747538,3
"84","2012","NY",1701,19351615,87.8996404176086,51
"85","2012","NC",1268,9453513,134.130031872808,4
"86","2012","ND",95,636983,149.140557911279,1
"87","2012","OH",1526,11270057,135.403041883462,7
"88","2012","OK",650,3529136,184.181057346614,23
"89","2012","OR",704,3612929,194.855752770121,11
"90","2012","PA",1641,12502153,131.257392226763,11
"91","2012","RI",100,915095,109.278271654856,NA
"92","2012","SC",662,4618710,143.330064022205,12
"93","2012","SD",136,765877,177.574205779779,NA
"94","2012","TN",966,6310131,153.087154608993,9
"95","2012","TX",3026,25767139,117.43639835218,23
"96","2012","UT",527,2658464,198.234770152991,11
"97","2012","VT",84,604354,138.991385843396,NA
"98","2012","VA",1052,7856806,133.89664960545,2
"99","2012","WA",1031,6821232,151.145716785472,19
"100","2012","WV",320,1761559,181.657270633569,NA
"101","2012","WI",701,5299670,132.272386771252,4
"102","2012","WY",163,542938,300.218441147976,NA
"103","2013","AL",715,4725017,151.322206883065,2
"104","2013","AK",162,642157,252.274755238984,NA
"105","2013","AZ",1155,6327250,182.543759137066,NA
"106","2013","AR",508,2624503,193.560456970329,2
"107","2013","CA",4012,38332521,104.663087512559,289
"108","2013","CO",982,4940474,198.766353187973,23
"109","2013","CT",323,3181285,101.531299459181,7
"110","2013","DE",113,668143,169.125471643046,1
"111","2013","DC",28,292048,95.8746507423437,17
"112","2013","FL",2914,19444980,149.858729605276,48
"113","2013","GA",1195,9729681,122.820059568243,46
"114","2013","HI",161,1352720,119.019457093855,1
"115","2013","ID",304,1533351,198.258585281517,NA
"116","2013","IL",1310,12432447,105.369441751893,26
"117","2013","IN",932,6122822,152.217392568329,1
"118","2013","IA",428,2884447,148.381994884981,36
"119","2013","KS",409,2665249,153.456581355063,NA
"120","2013","KY",688,4122863,166.874329804313,5
"121","2013","LA",574,4498431,127.600045438065,11
"122","2013","ME",243,1278933,190.002134591882,NA
"123","2013","MD",558,5684038,98.1696462972274,51
"124","2013","MA",557,6133261,90.8162884312277,20
"125","2013","MI",1274,9656149,131.936655078541,9
"126","2013","MN",662,5077344,130.383129447207,45
"127","2013","MS",384,2939178,130.648773228433,NA
"128","2013","MO",956,5935668,161.060221023143,25
"129","2013","MT",230,959659,239.668465569541,NA
"130","2013","NE",208,1694611,122.74203342242,NA
"131","2013","NV",523,2453337,213.179029216125,13
"132","2013","NH",179,1260482,142.009167921478,NA
"133","2013","NJ",747,8400662,88.9215635624907,12
"134","2013","NM",411,1864559,220.427457645481,4
"135","2013","NY",1680,19430545,86.4618053688149,87
"136","2013","NC",1256,9404950,133.546696154684,3
"137","2013","ND",120,676329,177.428440891933,NA
"138","2013","OH",1523,11403393,133.556740524509,25
"139","2013","OK",656,3592633,182.595884411238,23
"140","2013","OR",672,3636726,184.781586514904,10
"141","2013","PA",1778,12503368,142.201685177946,12
"142","2013","RI",125,913178,136.88459424121,NA
"143","2013","SC",680,3943592,172.431630858365,5
