date,count,total_count,ratio
"2011-01-01","1","6926","0.00014438348253"
"2011-01-02","0","23664","0"
"2011-01-03","6","37050","0.000161943319838"
"2011-01-04","1","13978","7.1540992989e-05"
"2011-01-05","1","14749","6.78012068615e-05"
"2011-01-06","1","15518","6.44412939812e-05"
"2011-01-07","0","14720","0"
"2011-01-08","0","9810","0"
"2011-01-09","0","9319","0"
"2011-01-10","3","13717","0.000218706714296"
"2011-01-11","1","14445","6.92281066113e-05"
"2011-01-12","5","14994","0.000333466720021"
"2011-01-13","1","14857","6.73083395033e-05"
"2011-01-14","3","14656","0.000204694323144"
"2011-01-15","1","9540","0.000104821802935"
"2011-01-16","2","8964","0.000223114680946"
"2011-01-17","0","12189","0"
"2011-01-18","0","14075","0"
"2011-01-19","5","14739","0.000339236040437"
"2011-01-20","4","15208","0.00026301946344"
"2011-01-21","2","14434","0.00013856172925"
"2011-01-22","1","9361","0.000106826193783"
"2011-01-23","5","8615","0.000580383052815"
"2011-01-24","4","13648","0.000293083235639"
"2011-01-25","0","14491","0"
"2011-01-26","1","15518","6.44412939812e-05"
"2011-01-27","0","15186","0"
"2011-01-28","2","14614","0.00013685507048"
"2011-01-29","2","9365","0.000213561131874"
"2011-01-30","0","8553","0"
"2011-01-31","0","13538","0"
"2011-02-01","2","14501","0.000137921522654"
"2011-02-02","1","14906","6.70870790286e-05"
"2011-02-03","1","9958","0.00010042177144"
"2011-02-04","0","13712","0"
"2011-02-05","0","8479","0"
"2011-02-06","0","8951","0"
"2011-02-07","0","13052","0"
"2011-02-08","0","13984","0"
"2011-02-09","0","14638","0"
"2011-02-10","1","15039","6.64937828313e-05"
"2011-02-11","1","14727","6.79024920215e-05"
"2011-02-12","0","9339","0"
"2011-02-13","0","8716","0"
"2011-02-14","0","13748","0"
"2011-02-15","1","14648","6.82687056253e-05"
"2011-02-16","0","15312","0"
"2011-02-17","0","15128","0"
"2011-02-18","1","14651","6.82547266398e-05"
"2011-02-19","1","8955","0.000111669458403"
"2011-02-20","0","8475","0"
"2011-02-21","1","11897","8.4054803732e-05"
"2011-02-22","2","12995","0.000153905348211"
"2011-02-23","0","12790","0"
"2011-02-24","1","16327","6.12482391131e-05"
"2011-02-25","0","14641","0"
"2011-02-26","0","9487","0"
"2011-02-27","0","8928","0"
"2011-02-28","1","14397","6.94589150517e-05"
"2011-03-01","0","14658","0"
"2011-03-02","1","15083","6.62998077306e-05"
"2011-03-03","1","15705","6.36739891754e-05"
"2011-03-04","0","14689","0"
"2011-03-05","0","9524","0"
"2011-03-06","1","8937","0.000111894371713"
"2011-03-07","0","12686","0"
"2011-03-08","0","14368","0"
"2011-03-09","1","15117","6.61506912747e-05"
"2011-03-10","1","15499","6.45202916317e-05"
"2011-03-11","2","14947","0.000133806114939"
"2011-03-12","1","9943","0.000100573267625"
"2011-03-13","0","9248","0"
"2011-03-14","5","14305","0.000349528137015"
"2011-03-15","1","14931","6.69747505191e-05"
"2011-03-16","2","15879","0.000125952515902"
"2011-03-17","0","15774","0"
"2011-03-18","0","15082","0"
"2011-03-19","0","10034","0"
"2011-03-20","1","9344","0.000107020547945"
"2011-03-21","0","14976","0"
"2011-03-22","1","15013","6.66089389196e-05"
"2011-03-23","1","16016","6.24375624376e-05"
"2011-03-24","2","16138","0.000123931094312"
"2011-03-25","0","15191","0"
"2011-03-26","0","9775","0"
"2011-03-27","0","9216","0"
"2011-03-28","1","15128","6.61025912216e-05"
"2011-03-29","3","15031","0.000199587519127"
"2011-03-30","1","15769","6.3415562179e-05"
"2011-03-31","0","15684","0"
"2011-04-01","2","15192","0.000131648235914"
"2011-04-02","1","9876","0.000101255569056"
"2011-04-03","0","9060","0"
"2011-04-04","0","15053","0"
"2011-04-05","1","14908","6.70780788838e-05"
"2011-04-06","0","16175","0"
"2011-04-07","0","10353","0"
"2011-04-08","0","15649","0"
"2011-04-09","0","9635","0"
"2011-04-10","1","9080","0.00011013215859"
"2011-04-11","0","14929","0"
"2011-04-12","1","14998","6.66755567409e-05"
"2011-04-13","0","15712","0"
"2011-04-14","0","15448","0"
"2011-04-15","0","15351","0"
"2011-04-16","0","9627","0"
"2011-04-17","0","8784","0"
"2011-04-18","16","14458","0.00110665375571"
"2011-04-19","0","14874","0"
"2011-04-20","2","15837","0.000126286544169"
"2011-04-21","0","16007","0"
"2011-04-22","2","14101","0.000141833912488"
"2011-04-23","0","9232","0"
